id,english,language,pronunciation,description,category,type,image
492,fighting stick,gajajimijimi,,,,noun,
493,bald,gajala,,,,adjective,
494,be/become bald,gadjalabi,,,,intransitive,
495,"big grass, blady grass",gajan,,,,noun,
496,possum ,gajarra,,,,noun,possum.jpg
497,[go] past ,gajarrgajarr,,,,adverb,
498,"might', maybe, (2) 'you try..)",gajil,,,,adverb,
499,it appears as if... but in fact it isnt. (counter factual), =gaji,,,,cli,
500,"food, deceive, tell a lie to, promise",gajimba,,,,transitive,
501,suprised,gajingarru,,,,adjective,
502,"zamia, flour from zamia ",gajirra,,,,noun,
503,"white tree annt, with a big nest, (2) a cattle station on herbert river near abergowrie",gaju,,,,noun,
504,go past,gajurri,,,,intransitive,
505,more,gala,,,,adverb,
506,vine creek near ravenshoe,galajara,,,,noun,
507,grub ina tree,galambu,,,,noun,
508,"old as against new, as against young",galamu,,,,adjective,
509,"sand, sugar",galba,,,,noun,
510,wash,galbababa,,,,transitive,
511,(girramay?) wash,galbabaga,,,,transitive,
512,"sand, sugar",galbabara,,,,noun,
513,(jalnguy?) sand,galbara,,,,noun,
514,wattle,galbay,,,,noun,
515,(loc: galba-ja) place on herbert river 6 iles below abergowrie,galbay,,,,n.I ,
516,"child, baby",galbin,,,,noun,
517,children (plural),galbiri,,,,noun,
518,bamboo (big),galbu,,,,noun,
519,"(not warrungu but jirrbal, girramay ? ) pour, spill (e.g. tea), release ( e.g. faeces)",galga,,,,transitive,
520,river oak (big one in the river),galgabara,,,,noun,
521,"fresh water black bream, yellow belly, (2) oak tree",galgagan,,,,noun,
522,place (between jurragay and banggarra),galgalgay,,,,noun,
523,galgari (instrumental ver) to pour.... in... ,galgari,,,,transitive,
524,"bushy area in wairuna country, btween marrajabarra and jalguwuru",galgay,,,,noun,
525,francis creek on palm island,galguru,,,,noun,
526,rain,galjabara,,,,noun,
527,"(kingship noun) uncle, mother's brother",galnga,,,,kinship noun,
528,"(kingship noun) unlcle, mother's brother",galngana,,,,kinship noun,
529,all my galnga,galngaguway,,,,noun,
530,many galnga,galngawarray,,,,n.II,
531,"fall down, fall over, set (of the sun)",galngga,,,,intransitive,
532,(jalnguy?) uncle ,galgina,,,,noun,
533,"(1) mouse (very small one ), rat, (2) place near cameron hill",galu,,,,noun,
534,"tree fern, black (its top is edible)",galuja,,,,noun,
535,testicles ,galun,,,,noun,
536,a mouse turned a blue tounge lizard over,galunggu-balban-banggarra,,,,noun,
537,"(song word, jalnguy) testicles",galuwuru,,,,noun,
538,"name of dance, dancing ground",gama,,,,noun,
539, (jalnguy? warrgamay?) spear,gamanday,,,,noun,
540,(loc: gamanda-ja) midway creek (near abergowrie),gamanday,,,,n.I,
541, gamari (jalnguy?) small goanna. CF. wanggu,gamari,,,,noun,
542,salt water oak,gamay,,,,noun,
543,cover up,gamba,,,,transitive,
544,"string, hair string, srting from bark, loya cane, fishing line",gamban,,,,noun,
545,(warrgamay?) body,gambara,,,,noun,
546,(instrumental verb) cover.. with...,gambari,,,,transitive,
547,cyclone,gambarra,,,,noun,
548,clothes,gambi,,,,noun,
549,blanket (tanned bark of a fig tree),gambila,,,,noun,
550,"persons from the west, persons(s) from the range",gambilbarra,,,,noun,
551,"murderer, slaughterer, winner (of a fight)",gamburr,,,,noun,
552,"(kinship noun) son's daughter, fathers mother",gami,,,,kinship noun,
553,"(kinship noun) son's daughter, fathers mother.",gamina,,,,kinship noun,
554,"(erg: gaminwarrany-ju, loc: gaminyjarr-a) as gami, gamina",gaminyjarr,,,,noun,
555,"(erg.: gamiwarrany-ju) many gami, each one's gami",gamiwarray,,,,n.II,
556,water,gamu,,,,noun,
557,"drinks, grog",gamugamu,,,,noun,
558,go to or for the water,gamuwubi,,,,intransitive,
559,(forked or) trident fishing spear made of jidu tree,gan.gabu,,,,noun,
560,"(jalnguy) call out, shout",gan.gali,,,,intransitive,
561,"below, inside ",gana,,,,adverb,
562,(used to describe the way one dances or looks at somthing),gana,,,,adverb,
563,underneath,ganamali,,,,adverb,
564,upset (e.g. boat),ganamalinga,,,,transitive,
565,"shag (type of big, black, water bird)",ganambirra,,,,noun,
566,more (once more),ganan,,,,adverb,
567,(not warrungu?) place on herbet river (gunnawarra),ganawara,,,,noun,
568,"before (time, space) ahead, in front",ganba,,,,adverb,
569,(jalnguy???) ahead,ganbali,,,,adverb,
570,"before (time, space, order) ahead, in front",ganbamali,,,,adverb,
571,"before, long ago",ganbamara,,,,adverb,
572,next year,ganbamara,,,,adverb,
573,"(erg: ganbamarangumany-ju) old, first (husband, etc)",ganbamarangumay,,,,adjective,
574,a good while (ago),ganbangurru,,,,adverb,
575,"people of long ago (about 100 year ago), very old people (well over eighty years old)",ganbaymuganbaymu,,,,noun,
576,"smaller type of hairy, bushman who (or which) lives in the lava scub and is feared by human beings.  C.F gangaligan",gandaru,,,,noun,
577,(tame) dog,gandu,,,,noun,
578,place name,gandungugu-wunan,,,,noun,
579,many dogs,ganduru,,,,noun,
580,"bigger type of hairy, bushman, who lives in the lave scrub. C.F gandaru",gangaligan,,,,noun,
581,place near cashmere,gangga,,,,noun,
582,western region,ganggara,,,,noun,
583,"(1) western region, (2) people of the west (more westerly than Mt. Suptrise, e.g. Bourketown)",ganggarabarra,,,,noun,
584,white wood,gangguy,,,,noun,
585,"away, long way, very far",gani,,,,adverb,
586,"(1) dingo, (2) people of cardwell ",ganibarra,,,,noun,
587,"a very long way, very far",ganimara,,,,adverb,
588,"(not warrungu) inside of yamba (camp, house)",ganya,,,,noun,
589,"shoulders as mean for carrying somthing, piggy back",ganyji,,,,noun,
590,"carry, take, bring, out on",ganyji,,,,transitive,
591,carry on the shoulders,ganyjimba,,,,transitive,
592,"(plural verb) pick up (many things), plural subject, 3,4, or 5 persons) carry ",ganyjiri,,,,transitive,
593,carry,ganyjiri,,,,transitive,
594,"people of the north, weipa people, people from coen to weipa (cf.) ganju",ganyjiyi,,,,transitive,
595,bean tree,ganyjubarra,,,,noun,
596,round yam,ganyjurr,,,,noun,
597,cricket (of a green type),ganyu,,,,noun,
598,a cricket might nick a yam,ganyu-babilga,,,,noun,
599,"put down, bear (give birth to), cover up, hide",garba,,,,transitive,
600,(instrumental verb) cover.... with... ,garbari,,,,transitive,
601,hide cover up,garbi,,,,transitive,
602,(reflexive) hide oneself,garbili,,,,intransitive,
603,"stil, yet (not) yet",garbu,,,,adverb,
604,(derivational suffix) three,-garbu,,,,derivational suffix,
605,"branch, limb (of tree),? lower arm??, limb (of man)",gargal,,,,noun,
606,shell necklace ,gargil,,,,noun,
607,sun,gari or garri,,,,noun,
608,a pair of boomerangs used for rhythming at a corroboree,garil,,,,noun,
609,place of herbert river near cashmere - cameron creek way,garman,,,,noun,
610,grandfather (bulu)'s grandfather (bulu),garmbuymu,,,,noun,
611,"all grandfathers (bulu), grandfather's grandfather's grandfather",garmbuymugarmbuymu,,,,noun,
612,grandfather of above,garmbuymugarmbuymugarmbuymu,,,,noun,
613,strong. (n) strong man,garnggala,,,,adjective,
614,spit,garnyja,,,,noun,
615,with spit all over the body,garnyjabarri,,,,adjective,
616,(derivational suffix) two,-garra,,,,derivational suffix,
617,(jalnguy) tomorrow,garrala,,,,adverb,
618,smoke,garran,,,,noun,
619,forget,garrbabi,,,,intransitive,
620,"tomorrow, on the next day (in the past)",garrbala,,,,adverb,
621,do... until tomorrow,garrbalabi,,,,intransitive,
622,"the day after tomorrow, the day after the next day",garrbalaguman,,,,adverb,
623,day after tomorrow,garrbalangumay,,,,adverb,
624,do... until tomorrow,garrbalawubi,,,,intransitive,
625,"stomach, guts",garrgal,,,,noun,
626,shout with which to inform someone,garrgaru,,,,noun,
627,sing out,garrgarubi,,,,intransitive,
628,sparrow hawk ,garrgay,,,,noun,
629,finish,garrgiringa,,,,transitive,
630,"sun, daytime, day, sunshine",garri,,,,noun,
631,for three days or nights ,garrigarbu,,,,adverb,
632,"(in) a couple of day's time, the daytime of the day after tomorrow",garriguman,,,,noun,
633,everyday,garriguman.guman,,,,adverb,
634,sunset time? afternoon,garriguwa,,,,noun,
635,"summer, dry season, hot mirage",garrimal,,,,noun,
636,(jalnguy) tobacco,garrman,,,,noun,
637,sugar bag bee wax,garrmay,,,,noun,
638,"strong (of current, river, etc.)",garrngal,,,,adjective,
639,(erg: garrnga-ju?) cabbage gum,garrngay,,,,noun,
640,go past [someone],garrugaja,,,,transitive,
641,"all the people, (in) the large numbers. ? / adv altogether?",garu,,,,"noun, adverb",
642,do... together,garubi,,,,intransitive,
643,place name ,garuja,,,,noun,
644,"put together, mix up",garunga,,,,transitive,
645,green ant,garuwun,,,,noun,
646,hide ,garuynga,,,,transitive,
647,vomit. (n) that which is vomited ,gawa,,,,intransitive,
648,sing out,gawa,,,,intransitive,
649,war cry,gawagawa,,,,interj,
650,voice ,gawal,,,,noun,
651,call out,gawalgawali,,,,intransitive,
652,call out,gawali,,,,intransitive,
653,tripe (e.g. of cattle) ,gawarr,,,,noun,
654,pelican,gawarrala,,,,noun,
655,tomahawk,gawirri,,,,noun,
656,(noun) in love,gawurra,,,,noun,
657,meaning unknown,gawuybi,,,,intransitive,
658,"(kinship noun) father, ? fathers brother?",gaya,,,,kinship noun,
659,become father,gayabi,,,,intransitive,
660,"(kinship noun) father, ? fathers brother?",gayana,,,,kinship noun,
661,step father,gayaguman,,,,noun,
662,white cockatoo,gayambula,,,,noun,
663,man's name (one of alf palmer's sons: alf palmer (jr.)),gayanggara,,,,noun,
664,"head man, boss",gayarra,,,,noun,
665,many gaya ,gayawarray,,,,n.II,
666,call up,gayba,,,,transitive,
667,"fire wood, fire",gaybabara,,,,noun,
668,"stinking, rotten. (n) stink",gayga,,,,adjective,
669,"be stinking, emit smell (e.g. wood which is burning without flame), go stink, rotten",gaygabi,,,,intransitive,
670,stinking. (noun) stinkin thing or person,gaygalbara,,,,adjective,
671,be/become stinking,gaygalbarabi,,,,intransitive,
672,stinking ,gaygalbari,,,,adjective,
673,be/become stinking,gaygalbaribi,,,,intransitive,
674,wallaroo,gaygarra,,,,noun,
675,"lead, take [someone]",gayngga,,,,transitive,
676,"tear, cry",gaynggir,,,,noun,
677,"(1) liver, mandy bay opn palm island",giba,,,,noun,
678,"scrape, scratch, shave dig",giba,,,,transitive,
679,mushroom,gibagiba,,,,noun,
680,fig tree (mishearing for giar?),gibal,,,,noun,
681,scratch,gibalgibal,,,,noun,
682,"swollen, lymph node",giban.giban,,,,noun,
683,"place on herbert river, between wanyjalwanyjal and giwan",gibar,,,,noun,
684,intrumental verb... scrape .... with...,gibari,,,,transitive,
685,tickle,gidimba,,,,transitive,
686,cold,gidu,,,,adjective,
687,feel cold,gidu wula,,,,intransitive,
688,"get cold, cool ",gidubi,,,,intransitive,
689,get cold,giduli,,,,intransitive,
690,make.... cold,gidunga,,,,transitive,
691,"(jalnguy?) let go, send",giga,,,,transitive,
692,speak of a possum,gigigi,,,,interj,
693,rosevale on gowrie creek ,gigubal,,,,noun,
694,"high, above, on top",gija,,,,adverb,
695,"(erg:gijarr-u, loc:gijarr-a) policeman",gijarr,,,,noun,
696,paint on the shield,gijarrman,,,,noun,
697,tickle,gijilmba,,,,transitive,
698,tickle,gijimba,,,,transitive,
699,centipede,gijurruy,,,,noun,
700,snot,gilngan,,,,noun,
701,"snot (fluid), cold (type of illness, not temperature)",gilngara,,,,noun,
702,(have) a cold,gilngawuru,,,,noun,
703,a stage of a grub in which it starts having wings in a cocoon,gima,,,,noun,
704,rifle bird ( C.F yurrmbi ) [a rifle bird might suck a grub],gimayurrmbilga,,,,noun,
705,blow (of wind),gimbi,,,,transitive,
706,wind (of fart),gimbirra,,,,noun,
707,windy,gimbilgimbil,,,,adjective,
708,windy,gimgirrgimbirr,,,,adjective,
709,gravy (which comes out from meat when it is cooked),gimirri,,,,noun,
710,whip snake,girimu,,,,noun,
711,tree used for fire stick,girin,,,,noun,
712,place between gabanbayan and badjubala (kirrama),girinyjal,,,,noun,
713,wrist,girman,,,,noun,
714,"big bony bream (in fresh water),  (2) place in kirrama country",girmbala,,,,noun,
715,a tribe and language east of warrungu country,girramay,,,,noun,
716,"take out dust from gound (earth, hole)",girrbi,,,,transitive,
717,the large intestines ,girugiru,,,,noun,
718,garrawalt creek near abergowrie,giwan,,,,noun,
719,hook,giya,,,,noun,
720,"little, brown lizard, found in large numbers",giyabay,,,,noun,
721,sweet,giyal,,,,adjective,
722,"mussel (shell), about 3 or 4 inches big, found in big swamps ",giyany,,,,noun,
723,(not warrungu but jirrbal and girramay) cover up,guba,,,,transitive,
724,type of shell,gubaguba,,,,noun,
725,crocodile (does not bite),gubaji,,,,noun,
726,place name,gubar,,,,noun,
727,"scrub itch (red, small)",gubarrmbanyu,,,,noun,
728,"wise man', doctor",gubi,,,,noun,
729,whistle ,gubi,,,,transitive,
730,be a doctor,gubibi,,,,intransitive,
731,(jalnguy?) whistle ,gubilbi,,,,intransitive,
732,whistle ,gubilgubilbi,,,,intransitive,
733,whistle ,gubilgubili,,,,intransitive,
734,whistle ,gubili,,,,intransitive,
735,"doctor, man-eater",gubimbulu,,,,noun,
736,black duck,gubiri,,,,noun,
737,along' as in 'come along'?),gubiyi,,,,adverb,
738,"doctor, killer",gubiyi,,,,noun,
739,doctor,gubiyigubiyi,,,,noun,
740,"leaf, tea leaf, bush",gubu,,,,noun,
741,a way of fishing where many people  roll branches of trees into the river to chase fish into some place,gubu-mulgarra,,,,noun,
742,persons(s) from the bushy area such as mount pandanus tiger mountain,gububarra,,,,noun,
743,"type of palm, in the bush, big, edible",gubunbara,,,,noun,
744,magpie,gubura,,,,noun,
745,type of bee,guburr,,,,noun,
746,"later, behind",guda,,,,adverb,
747,(jalnguy?) behind,gudamali,,,,adverb,
748,bushy country on herbert river near kirrama ,gudami,,,,noun,
749,from behind,gudamundu,,,,adverb,
750,"(from) behind (of time, space)",gudagandu,,,,adverb,
751,(go or come) back,gudi,,,,adverb,
752,"skin, bark",guga,,,,noun,
753,tree goanna ,gugabara,,,,noun,
754,place on herbert river ( gugani means big mussle shell' in other languages.),gugani,,,,noun,
755,person(s) of gugani,guganibarra,,,,noun,
756,"black goanna, bull goanna (big, on a tree)",gugar,,,,noun,
757,boat,gugay,,,,noun,
758,flying flox,gugi,,,,noun,
759,"language, speech, talk, words, message, voice. (interj) the way guguwuny cries",gugu,,,,noun,
760,gugu-bahdun pople and thir language.,gugu-bajun,,,,noun,
761,"argue with, ""twist word on"" [someone]",gugu-bayi,,,,transitive,
762,"argue with each other/ one another, talk with each other/ one another",gugu-bayi-wa,,,,transitive,
763,"argue with each other/ one another, growl with each other/ one another",gugu-bayuwa,,,,transitive,
764,"send words, talk, read, pronounce",gugu birri,,,,transitive,
765,"talk, speak",gugu guyba,,,,transitive,
766,talk with each other/ one another,gugu guyba-wa,,,,transitive,
767,kookaburra,gugubara,,,,noun,
768,talk,gugubi,,,,intransitive,
769,(intej) the way guguwuny cries,gugugugu,,,,interj,
770,another/ other language,guguguman,,,,noun,
771,egg,guguji,,,,noun,
772,platypus,gugula,,,,noun,
773,"the name of a song, (2) a pair of timing sticks for dancing, etc",gugulu,,,,noun,
774,type of bird,guguwuny,,,,noun,
775,as above,guguwuy,,,,n.II,
776,nose ,guja,,,,noun,
777,alligator,gujagay,,,,n.II,
778,"worm, earth worm",gujal,,,,noun,
779,(jirrbal?) wet ,gujan,,,,adjective,
780,a mountain in the range (where abouts unknown),gujarrbi,,,,noun,
781,"bandicoot (big one, in the grass)",gujila,,,,noun,
782,place on herbert river near ingham,gujilamila,,,,noun,
783,whirlwind,gujulbarra,,,,noun,
784,only , =gul,,,,cli,
785,"up the creek/river, at the top of the creek/river",gula,,,,adverb,
786,ma mountain (near Mt. pandanus?),gulajara,,,,noun,
787,black cockatoo,gulalbi,,,,noun,
788,up the creek (movement),gulangal,,,,adverb,
789,south,gulbila,,,,"noun, adverb",
790,person(s) of south,gulbilabarra,,,,noun,
791,"send [somthing] to the south, look to the south",gulbilanga,,,,transitive,
792,to the south,gulbilangal,,,,adverb,
793,cane grass,gulbira,,,,noun,
794,poision of black tree in scrub,gulburru,,,,noun,
795,jew fish,gulga,,,,noun,
796,swag,gulgurra,,,,noun,
797,angry (generally used with the COM suffix: guli-yi,guli,,,,adjective,
798,only , =guli,,,,cli,
799,take charge,guli waga,,,,intransitive,
800,angry,gulibarra ,,,,adjective,
801,angry,gulibaya,,,,adjective,
802,get angry or wild,gulibi,,,,intransitive,
803,(not warrungu?) coolamon,guliman,,,,noun,
804,get angry,guli-yi waga,,,,intransitive,
805,"get angry, get angry with each other/ one another ",guli-yi waga-wa ,,,,intransitive,
806,behind ,gulma,,,,adverb,
807,"behind (time, order, space)",gulmamali,,,,adverb,
808,behind (of space),gulmangandu,,,,adverb,
809,shield,gulmarri,,,,noun,
810,behind (of space),gulmarru,,,,adverb,
811,helper,gulmbal,,,,noun,
812,help (e.g. in a fight),gulmbalbi,,,,intransitive,
813,"set up [fence], do neatly",gulmburrma,,,,transitive,
814,set up [fence] ,gulmburrmba,,,,transitive,
815,do neatly set up [fence],gulmburrnga,,,,transitive,
816,back (of direction),gulmi,,,,adverb,
817,return,gulmibi,,,,intransitive,
818,return,gulminga,,,,transitive,
819,tripe,gulmu,,,,noun,
820,a language,gulngay,,,,noun,
821,black,guluba,,,,adjective,
822,wind,gulubu,,,,noun,
823,"other, another, different ",guman,,,,adjective,
824,"one more, another one",guman.gabun,,,,"adjective, noun",
825,"different persons, things",guman.guman,,,,noun,
826,be/become different ,gumanbi,,,,intransitive,
827,"another one (e.g. man,woman, dog)",gumanmara,,,,noun,
828,a stage of the growth of a grub in which it is in a cocoon,gumbala,,,,noun,
829,place in wairuna country,gumbin,,,,noun,
830,"arse, buttocks anus",gumbu,,,,noun,
831,butterfly,gumburrgumburr,,,,noun,
832,"fog, cloud",gumburru,,,,noun,
833,grinding stone,gumirri,,,,noun,
834,an avoidance-term by which to refer to a dead husband,gumirrin,,,,noun,
835,lannercost creek,gumun,,,,noun,
836,"(a place) that is quiet and or closed up, e.g. jail, paddock. adj.? quiet?",gumun,,,,"noun, adjective",
837,be /become shut,gumunbi,,,,intransitive,
838,shut,gumunnga,,,,transitive,
839,"raw, green, unripe",gun.ga,,,,adjective,
840,"be lively (of human being, etc.)",gun.gabi,,,,intransitive,
841,cure,gun.gamba,,,,transitive,
842,"(1) faeces, (2) young bee, 'powder' in a beehive",guna,,,,noun,
843,basalt,gunarri,,,,noun,
844,warrungu person(s),gunarribarra,,,,noun,
845,cut,gunba,,,,transitive,
846,cut up,gunbannga,,,,transitive,
847,cicatrices,gunbanyu,,,,noun,
848,log,gunbara,,,,noun,
849,cut... with....,gunbari,,,,transitive,
850,"night, darkness, last night, yesterday",gunda,,,,noun,
851,sky. (adj) bright,gundabara,,,,noun,
852,dark,gundabaya,,,,noun,
853,the next night,gundababun,,,,noun,
854,the night of the day after tomorrow,Gundaguman ,,,,noun,
855,"yesterday. the day before, the night before",gundagunda,,,,adverb,
856,the night before. (n) four night ago,gundagundagabun,,,,adverb,
857,for three night ,gundagurrbara,,,,adverb,
858,an old fighting ground which used to exist near murray (?) river,gundaja,,,,noun,
859,type of long fish,gundamu,,,,noun,
860,"darkness, black",gundarrmu,,,,noun,
861,(1) emu (2) place on waterfall creek,gundulu,,,,noun,
862,north. adv to or in the north,gunggarri,,,,"noun, adverb",
863,person(s) of the north,gunggarribarra,,,,noun,
864,to or on the north side,gunggarrimali,,,,adverb,
865,"send to the north, look towards the north",gunggarringa,,,,transitive,
866,to the north,gungarringal,,,,adverb,
867,"(girramay) red clay, red ochre",gunggu,,,,noun,
868,yellow,gunggugaji,,,,adjective,
869,fight,guni,,,,transitive,
870,"fighting man, man's name (one of alf palmers uncles). (alf palmer gave tasaku tsunoda this name.)",gunira,,,,noun,
871,fight with on/each other,guniwa,,,,intransitive,
872,break,gunji,,,,transitive,
873,"cut, break, chop",gunma,,,,transitive,
874,jabiru (big crane),gunumali,,,,noun,
875,"butcher bird??, yam??",gunyaga,,,,noun,
876,long (?) yam,gunyangarra,,,,noun,
877,happy ,gunyarrgunyarr,,,,adjective,
878,"the south, southern reigion",gunyin,,,,noun,
879,person(s) of the south,gunyinbarra,,,,noun,
880,split in the middle part of the belly of [e.g. a kangaroo],gunyjabaranga,,,,transitive,
881,round yam,gunyjangarra,,,,noun,
882,"(1) kidney, (2) place on waterfall creek near cold",gunyji,,,,noun,
883,thunder storm,gunyjubara,,,,noun,
884,storm,gunyjunu or gunjunu,,,,noun,
885,thunder storm,gunyjuy or gunyjuyi,,,,noun,
886,thunderstorm,gunyuybara or gunyjuyibara,,,,noun,
887,(girramay or jirrbal?) be/become yellow,gurbalbi,,,,intransitive,
888,yellow,gurbalgurbal,,,,adjective,
889,"old female kangaroo?, young female kangaroo?, mother kangaroo?, any young kangarroo",gurgay,,,,noun,
890,semen??,gurgun,,,,noun,
891,(girramay?) (1) carpet snake (one of the skin groups?),gurgurru,,,,noun,
892,"native bee, sugar bag",gurja,,,,noun,
893,"(girramay ?) feel, touch",gurma,,,,transitive,
894,husband,gurnggal,,,,noun,
895,be/become a husband,gurnggalbi ,,,,intransitive,
896,(warrgamay?) club with round head,gurnggu,,,,noun,
897,"sweep, rake up",gurra,,,,transitive,
898,"(1) younger sibling (younger brother, younger sister), (2) the last one, behind one",gurramara,,,,noun,
899,"rainbow lorikeet, ? or eastern rosella, king parrot?",gurrambal,,,,noun,
900,ironbark (tree),gurranbara,,,,noun,
901,fresh water perch,gurrba,,,,noun,
902,three,gurrbara,,,,"noun, adjective",
903,[stay] for three nights,gurrbarabi,,,,intransitive,
904,five,gurrbarabularu,,,,"noun, adjectie",
905,"do three times, do.... with three persons",gurrbaranga,,,,transitive,
906,three times,gurrbarangal,,,,adverb,
907,"nape, neck",gurrga,,,,noun,
908,billy can,gurrgara,,,,noun,
909,water rat,gurrgija,,,,noun,
910,"crow, the symbol or name of a skin group???",gurrgila,,,,noun,
911,"big, grinding stone",gurrgu,,,,noun,
912,twins (guribula?),gurribula,,,,noun,
913,eaglehawk,gurrijala,,,,noun,
914,(warrgamay?) blood,gurrmal,,,,noun,
915,mud ,gurrnga,,,,noun,
916,blood wood,gurrugan,,,,noun,
917,ear,guru,,,,noun,
918,honey,guru,,,,noun,
919,sweet,gurugaji,,,,adjective,
920,dove (little one),gurugu,,,,noun,
921,brown hawk,gurunggul,,,,noun,
922,brolga,gururr,,,,noun,
923,west. adv on top (e.g. the sun at midday.),guwa,,,,"noun, adverb",
924,"person(s) of the west, e.g. of charters towers",guwabarra,,,,noun,
925,go west,guwabi,,,,intransitive,
926,"top, in the west?",guwagada,,,,adverb,
927,on top,guawmali,,,,adverb,
928,"send, etc. to the west",guwanga,,,,transitive,
929,to the west,guwangal,,,,adverb,
930,westerly ,guwangumay,,,,adjective,
931,"loc: -guwanyja) lotss of, all of my.... (following kinship nouns)", -guway,,,,derivational suffix,
932,cane beetle,guwurrjuru,,,,noun,
933,"HI!, HEY!, etc. (to a person in the distance)",guwuy ,,,,interj,
934,"erg: guwuny-ju) (1) male ghost, dead man, (2) white man",guwuy,,,,n.II,
935,"be/become (like) a ghost, die",guwuybi,,,,intransitive,
936,call out 'HI!',guwuybi,,,,intransitive,
937,"make [someone] a dead man, kill",guwuynga,,,,transitive,
938,on the other side ,guyamali,,,,adverb,
939,bottle spear,guyan,,,,noun,
940,frost,guyan,,,,noun,
941,"across, to the other side ",guyangal,,,,adverb,
942,shell orament around the neck,guyanyjal,,,,noun,
943,shady ridge,guyarri,,,,noun,
944,"across, on or to the other side",guyay,,,,adverb,
945,"on the other side, inside (of the house)",guyaymali,,,,adverb,
946,"to the other side, [go] over",guyayngal,,,,adverb,
947,"give,throw",guyba,,,,transitive,
948,person who tends to give out,guybalnga,,,,noun,
949,"send, let [person] go, show",guybara,,,,transitive,
950,"give [to many], ? [many] give??",guybaramba,,,,transitive,
951,knock over,guybaranga,,,,transitive,
952,"knock over, push over",guybari,,,,intransitive,
953,(instrumental verb) thow... to....,guybari,,,,transitive,
954,give to one another (or each other),guybawa,,,,intransitive,
955,(jalnguy) come down?,?guyga,,,,intransitive,
956,"scrub bandicoot (with long nose, small one in the scrub)",guygal,,,,noun,
957,jalnguy?) water,guygarra,,,,noun,
958,"(1) mosquito, (2) place on herbert river ",guyguy,,,,noun,
959,hungry,guyi,,,,adjective,
960,cry,guyi,,,,intransitive,
961,be hungry,guyi wala,,,,intransitive,
962,curlew (dances in the cemetery at night),guyibarra ,,,,noun,
963,become hungry,guyibi,,,,intransitive,
964,wrinkle,guyiguyi,,,,noun,
965,cork wood,guyirri,,,,noun,
966,scrub turkey,guyjarri,,,,noun,
967,young man who has gone through first stage of initiation),guymbinba,,,,noun,
968,"cicatrices-type tribal mark on a mans belly, who is old enough to marry",guymbirra,,,,noun,
969,"feel sorry, be sad",guynbun.guynbunbi,,,,intransitive,
970,feel sorry for [someone],guynbunbi,,,,transitive,
971,feel sorry for???,guynburmba,,,,transitive,
972,"(1) female ghost, dead female, (2) white woman",guynggan,,,,noun,
973,(1) bean (2) wild grape (red),guyu,,,,noun,
974,daughter in-law,guyugan,,,,noun,
975,"exclamation of suprise, etc. ",haha,,,,interj,
976,call to someone,hay,,,,interj,
977,place near cashmere,jabaji,,,,noun,
978,whip tail kangaroo,jabali,,,,noun,
979,any eel (=wagal),jaban,,,,noun,
980,stop [at a place or from a fight],jabi,,,,transitive,
981,mans name (one of alf palmer(s) grandsons: roderick palmer),jabinu,,,,transitive,
982,hole (of a grave),jabu,,,,noun,
983,"bury (not only a corpse in a grave-hole but also a stone, etc. in an ordinary hole)",jabubaga,,,,noun,
984,bury  ,jabumba,,,,transitive,
985,coast ,jabun,,,,noun,
986,"person(s) from one of the cost (e.g. carwell, inghams, cairns)",jabunbarra,,,,noun,
987,bury,jabunga,,,,transitive,
988,bury,jabungganga,,,,transitive,
989,enemy,jabura,,,,noun,
990,pimple,jaga,,,,noun,
991,"chee, whiskers (on the cheeks)",jagal,,,,noun,
992,sand goanna ,jagany,,,,noun,
993,leather bead bird,jagar,,,,noun,
994,"(1) sand goanna (com: jagany-ji), (2) place on herbert river near kirrama (class unknown, probably class 11)",jagay,,,,noun,
995,be sorry,jagu,,,,intransitive,
996,another person who also feels sorry,jagulguman,,,,"noun, adjective",
997,"be sorry, quiet",jaguli,,,,intransitive,
998,sorry,jaguljagul,,,,adjective,
999,be sorry,jaguljaguli,,,,intransitive,
1000,be sorry for [someone],jagulnga,,,,transitive,
1001,(jirrbal) tie up,jaguma,,,,transitive,
1002,tie up (e.g. tree),jagunga,,,,transitive,
1003,tie up???,jaguri,,,,transitive,
1004,(class ii erg: jaguny-ju)mleft (not right),jaguy,,,,"noun, adjective",
1005,yam with prickly leaves,jalaba,,,,noun,
1006,big waves (adj) wavy,jalamjalam,,,,"noun, adjective",
1007,make big waves,jalamjalamnga,,,,transitive,
1008,greedy,jalan,,,,adjective,
1009,inside part  or red part of minga (female private parts),jalan,,,,noun,
1010,be/become greedy,jalanbi,,,,intransitive,
1011,clothing for woman to cover the private parts,jalanggu,,,,noun,
1012,tongue,jalany,,,,noun,
1013,greedy person,jalawuru,,,,noun,
1014,"stick, make ..... stuck (in a place)",jalba,,,,transitive,
1015,"moustache, beard, whiskers (on cheek, chin, below nose), (2) (loc: jalbar-a. this loc formation is an exception.) place (on herbert river)",jalbar,,,,noun,
1016,short,jalbu,,,,adjective,
1017,(jalnguy) short,jalbujala,,,,adjective,
1018,meat,jalgur,,,,noun,
1019,bushy area in wairuna country,jalguwuru,,,,noun,
1020,"fighting stick, big yam stick ",jalinbirri,,,,noun,
1021,son,jalmay,,,,noun,
1022,greedy,jalmin,,,,adjective,
1023,"(1) red, (2) yellow?. (noun) half-caste",jalngarri,,,,adjective,
