,,,,,,,,
e,Translation,Pronunciation,Description,Category,Word type,Image,Audio,Widget
laughing jjackass,gagubarra,,,,noun,,,
head,gaja,,,,noun,,,
full (basket),gajabalgara,,,,adjective,,,
make full ,gajabalgaranga,,,,transitive,,,
bald,gajabalgurru,,,,adjective,,,
full,gajabara,,,,adjective,,,
fighting stick,gajajimijimi,,,,noun,,,
bald,gajala,,,,adjective,,,
be/become bald,gadjalabi,,,,intransitive,,,
"big grass, blady grass",gajan,,,,noun,,,
possum ,gajarra,,,,noun,,,
[go] past ,gajarrgajarr,,,,adverb,,,
"might', maybe, (2) 'you try..)",gajil,,,,adverb,,,
it appears as if... but in fact it isnt. (counter factual), =gaji,,,,cli,,,
"food, deceive, tell a lie to, promise",gajimba,,,,transitive,,,
suprised,gajingarru,,,,adjective,,,
"zamia, flour from zamia ",gajirra,,,,noun,,,
"white tree annt, with a big nest, (2) a cattle station on herbert river near abergowrie",gaju,,,,noun,,,
go past,gajurri,,,,intransitive,,,
more,gala,,,,adverb,,,
vine creek near ravenshoe,galajara,,,,noun,,,
grub ina tree,galambu,,,,noun,,,
"old as against new, as against young",galamu,,,,adjective,,,
"sand, sugar",galba,,,,noun,,,
wash,galbababa,,,,transitive,,,
(girramay?) wash,galbabaga,,,,transitive,,,
"sand, sugar",galbabara,,,,noun,,,
(jalnguy?) sand,galbara,,,,noun,,,
wattle,galbay,,,,noun,,,
(loc: galba-ja) place on herbert river 6 iles below abergowrie,galbay,,,,n.I ,,,
"child, baby",galbin,,,,noun,,,
children (plural),galbiri,,,,noun,,,
bamboo (big),galbu,,,,noun,,,
"(not warrungu but jirrbal, girramay ? ) pour, spill (e.g. tea), release ( e.g. faeces)",galga,,,,transitive,,,
river oak (big one in the river),galgabara,,,,noun,,,
"fresh water black bream, yellow belly, (2) oak tree",galgagan,,,,noun,,,
place (between jurragay and banggarra),galgalgay,,,,noun,,,
galgari (instrumental ver) to pour.... in... ,galgari,,,,transitive,,,
"bushy area in wairuna country, btween marrajabarra and jalguwuru",galgay,,,,noun,,,
francis creek on palm island,galguru,,,,noun,,,
rain,galjabara,,,,noun,,,
"(kingship noun) uncle, mother's brother",galnga,,,,kinship noun,,,
"(kingship noun) unlcle, mother's brother",galngana,,,,kinship noun,,,
all my galnga,galngaguway,,,,noun,,,
many galnga,galngawarray,,,,n.II,,,
"fall down, fall over, set (of the sun)",galngga,,,,intransitive,,,
(jalnguy?) uncle ,galgina,,,,noun,,,
"(1) mouse (very small one ), rat, (2) place near cameron hill",galu,,,,noun,,,
"tree fern, black (its top is edible)",galuja,,,,noun,,,
testicles ,galun,,,,noun,,,
a mouse turned a blue tounge lizard over,galunggu-balban-banggarra,,,,noun,,,
"(song word, jalnguy) testicles",galuwuru,,,,noun,,,
"name of dance, dancing ground",gama,,,,noun,,,
 (jalnguy? warrgamay?) spear,gamanday,,,,noun,,,
(loc: gamanda-ja) midway creek (near abergowrie),gamanday,,,,n.I,,,
 gamari (jalnguy?) small goanna. CF. wanggu,gamari,,,,noun,,,
salt water oak,gamay,,,,noun,,,
cover up,gamba,,,,transitive,,,
"string, hair string, srting from bark, loya cane, fishing line",gamban,,,,noun,,,
(warrgamay?) body,gambara,,,,noun,,,
(instrumental verb) cover.. with...,gambari,,,,transitive,,,
cyclone,gambarra,,,,noun,,,
clothes,gambi,,,,noun,,,
blanket (tanned bark of a fig tree),gambila,,,,noun,,,
"persons from the west, persons(s) from the range",gambilbarra,,,,noun,,,
"murderer, slaughterer, winner (of a fight)",gamburr,,,,noun,,,
"(kinship noun) son's daughter, fathers mother",gami,,,,kinship noun,,,
"(kinship noun) son's daughter, fathers mother.",gamina,,,,kinship noun,,,
"(erg: gaminwarrany-ju, loc: gaminyjarr-a) as gami, gamina",gaminyjarr,,,,noun,,,
"(erg.: gamiwarrany-ju) many gami, each one's gami",gamiwarray,,,,n.II,,,
water,gamu,,,,noun,,,
"drinks, grog",gamugamu,,,,noun,,,
go to or for the water,gamuwubi,,,,intransitive,,,
(forked or) trident fishing spear made of jidu tree,gan.gabu,,,,noun,,,
"(jalnguy) call out, shout",gan.gali,,,,intransitive,,,
"below, inside ",gana,,,,adverb,,,
(used to describe the way one dances or looks at somthing),gana,,,,adverb,,,
underneath,ganamali,,,,adverb,,,
upset (e.g. boat),ganamalinga,,,,transitive,,,
"shag (type of big, black, water bird)",ganambirra,,,,noun,,,
more (once more),ganan,,,,adverb,,,
(not warrungu?) place on herbet river (gunnawarra),ganawara,,,,noun,,,
"before (time, space) ahead, in front",ganba,,,,adverb,,,
(jalnguy???) ahead,ganbali,,,,adverb,,,
"before (time, space, order) ahead, in front",ganbamali,,,,adverb,,,
"before, long ago",ganbamara,,,,adverb,,,
next year,ganbamara,,,,adverb,,,
"(erg: ganbamarangumany-ju) old, first (husband, etc)",ganbamarangumay,,,,adjective,,,
a good while (ago),ganbangurru,,,,adverb,,,
"people of long ago (about 100 year ago), very old people (well over eighty years old)",ganbaymuganbaymu,,,,noun,,,
"smaller type of hairy, bushman who (or which) lives in the lava scub and is feared by human beings.  C.F gangaligan",gandaru,,,,noun,,,
(tame) dog,gandu,,,,noun,,,
place name,gandungugu-wunan,,,,noun,,,
many dogs,ganduru,,,,noun,,,
"bigger type of hairy, bushman, who lives in the lave scrub. C.F gandaru",gangaligan,,,,noun,,,
place near cashmere,gangga,,,,noun,,,
western region,ganggara,,,,noun,,,
"(1) western region, (2) people of the west (more westerly than Mt. Suptrise, e.g. Bourketown)",ganggarabarra,,,,noun,,,
white wood,gangguy,,,,noun,,,
"away, long way, very far",gani,,,,adverb,,,
"(1) dingo, (2) people of cardwell ",ganibarra,,,,noun,,,
"a very long way, very far",ganimara,,,,adverb,,,
"(not warrungu) inside of yamba (camp, house)",ganya,,,,noun,,,
"shoulders as mean for carrying somthing, piggy back",ganyji,,,,noun,,,
"carry, take, bring, out on",ganyji,,,,transitive,,,
carry on the shoulders,ganyjimba,,,,transitive,,,
"(plural verb) pick up (many things), plural subject, 3,4, or 5 persons) carry ",ganyjiri,,,,transitive,,,
carry,ganyjiri,,,,transitive,,,
"people of the north, weipa people, people from coen to weipa (cf.) ganju",ganyjiyi,,,,transitive,,,
bean tree,ganyjubarra,,,,noun,,,
round yam,ganyjurr,,,,noun,,,
cricket (of a green type),ganyu,,,,noun,,,
a cricket might nick a yam,ganyu-babilga,,,,noun,,,
"put down, bear (give birth to), cover up, hide",garba,,,,transitive,,,
(instrumental verb) cover.... with... ,garbari,,,,transitive,,,
hide cover up,garbi,,,,transitive,,,
(reflexive) hide oneself,garbili,,,,intransitive,,,
"stil, yet (not) yet",garbu,,,,adverb,,,
(derivational suffix) three,-garbu,,,,derivational suffix,,,
"branch, limb (of tree),? lower arm??, limb (of man)",gargal,,,,noun,,,
shell necklace ,gargil,,,,noun,,,
sun,gari or garri,,,,noun,,,
a pair of boomerangs used for rhythming at a corroboree,garil,,,,noun,,,
place of herbert river near cashmere - cameron creek way,garman,,,,noun,,,
grandfather (bulu)'s grandfather (bulu),garmbuymu,,,,noun,,,
"all grandfathers (bulu), grandfather's grandfather's grandfather",garmbuymugarmbuymu,,,,noun,,,
grandfather of above,garmbuymugarmbuymugarmbuymu,,,,noun,,,
strong. (n) strong man,garnggala,,,,adjective,,,
spit,garnyja,,,,noun,,,
with spit all over the body,garnyjabarri,,,,adjective,,,
(derivational suffix) two,-garra,,,,derivational suffix,,,
(jalnguy) tomorrow,garrala,,,,adverb,,,
smoke,garran,,,,noun,,,
forget,garrbabi,,,,intransitive,,,
"tomorrow, on the next day (in the past)",garrbala,,,,adverb,,,
do... until tomorrow,garrbalabi,,,,intransitive,,,
"the day after tomorrow, the day after the next day",garrbalaguman,,,,adverb,,,
day after tomorrow,garrbalangumay,,,,adverb,,,
do... until tomorrow,garrbalawubi,,,,intransitive,,,
"stomach, guts",garrgal,,,,noun,,,
shout with which to inform someone,garrgaru,,,,noun,,,
sing out,garrgarubi,,,,intransitive,,,
sparrow hawk ,garrgay,,,,noun,,,
finish,garrgiringa,,,,transitive,,,
"sun, daytime, day, sunshine",garri,,,,noun,,,
for three days or nights ,garrigarbu,,,,adverb,,,
"(in) a couple of day's time, the daytime of the day after tomorrow",garriguman,,,,noun,,,
everyday,garriguman.guman,,,,adverb,,,
sunset time? afternoon,garriguwa,,,,noun,,,
"summer, dry season, hot mirage",garrimal,,,,noun,,,
(jalnguy) tobacco,garrman,,,,noun,,,
sugar bag bee wax,garrmay,,,,noun,,,
"strong (of current, river, etc.)",garrngal,,,,adjective,,,
(erg: garrnga-ju?) cabbage gum,garrngay,,,,noun,,,
go past [someone],garrugaja,,,,transitive,,,
"all the people, (in) the large numbers. ? / adv altogether?",garu,,,,"noun, adverb",,,
do... together,garubi,,,,intransitive,,,
place name ,garuja,,,,noun,,,
"put together, mix up",garunga,,,,transitive,,,
green ant,garuwun,,,,noun,,,
hide ,garuynga,,,,transitive,,,
vomit. (n) that which is vomited ,gawa,,,,intransitive,,,
sing out,gawa,,,,intransitive,,,
war cry,gawagawa,,,,interj,,,
voice ,gawal,,,,noun,,,
call out,gawalgawali,,,,intransitive,,,
call out,gawali,,,,intransitive,,,
tripe (e.g. of cattle) ,gawarr,,,,noun,,,
pelican,gawarrala,,,,noun,,,
tomahawk,gawirri,,,,noun,,,
(noun) in love,gawurra,,,,noun,,,
meaning unknown,gawuybi,,,,intransitive,,,
"(kinship noun) father, ? fathers brother?",gaya,,,,kinship noun,,,
become father,gayabi,,,,intransitive,,,
"(kinship noun) father, ? fathers brother?",gayana,,,,kinship noun,,,
step father,gayaguman,,,,noun,,,
white cockatoo,gayambula,,,,noun,,,
man's name (one of alf palmer's sons: alf palmer (jr.)),gayanggara,,,,noun,,,
"head man, boss",gayarra,,,,noun,,,
many gaya ,gayawarray,,,,n.II,,,
call up,gayba,,,,transitive,,,
"fire wood, fire",gaybabara,,,,noun,,,
"stinking, rotten. (n) stink",gayga,,,,adjective,,,
"be stinking, emit smell (e.g. wood which is burning without flame), go stink, rotten",gaygabi,,,,intransitive,,,
stinking. (noun) stinkin thing or person,gaygalbara,,,,adjective,,,
be/become stinking,gaygalbarabi,,,,intransitive,,,
stinking ,gaygalbari,,,,adjective,,,
be/become stinking,gaygalbaribi,,,,intransitive,,,
wallaroo,gaygarra,,,,noun,,,
"lead, take [someone]",gayngga,,,,transitive,,,
"tear, cry",gaynggir,,,,noun,,,
,,,,,,,,
,GI,,,,,,,
"(1) liver, mandy bay opn palm island",giba,,,,noun,,,
"scrape, scratch, shave dig",giba,,,,transitive,,,
mushroom,gibagiba,,,,noun,,,
fig tree (mishearing for giar?),gibal,,,,noun,,,
scratch,gibalgibal,,,,noun,,,
"swollen, lymph node",giban.giban,,,,noun,,,
"place on herbert river, between wanyjalwanyjal and giwan",gibar,,,,noun,,,
intrumental verb... scrape .... with...,gibari,,,,transitive,,,
tickle,gidimba,,,,transitive,,,
cold,gidu,,,,adjective,,,
feel cold,gidu wula,,,,intransitive,,,
"get cold, cool ",gidubi,,,,intransitive,,,
get cold,giduli,,,,intransitive,,,
make.... cold,gidunga,,,,transitive,,,
"(jalnguy?) let go, send",giga,,,,transitive,,,
speak of a possum,gigigi,,,,interj,,,
rosevale on gowrie creek ,gigubal,,,,noun,,,
"high, above, on top",gija,,,,adverb,,,
"(erg:gijarr-u, loc:gijarr-a) policeman",gijarr,,,,noun,,,
paint on the shield,gijarrman,,,,noun,,,
tickle,gijilmba,,,,transitive,,,
tickle,gijimba,,,,transitive,,,
centipede,gijurruy,,,,noun,,,
snot,gilngan,,,,noun,,,
"snot (fluid), cold (type of illness, not temperature)",gilngara,,,,noun,,,
(have) a cold,gilngawuru,,,,noun,,,
a stage of a grub in which it starts having wings in a cocoon,gima,,,,noun,,,
rifle bird ( C.F yurrmbi ) [a rifle bird might suck a grub],gimayurrmbilga,,,,noun,,,
blow (of wind),gimbi,,,,transitive,,,
wind (of fart),gimbirra,,,,noun,,,
windy,gimbilgimbil,,,,adjective,,,
windy,gimgirrgimbirr,,,,adjective,,,
gravy (which comes out from meat when it is cooked),gimirri,,,,noun,,,
whip snake,girimu,,,,noun,,,
tree used for fire stick,girin,,,,noun,,,
place between gabanbayan and badjubala (kirrama),girinyjal,,,,noun,,,
wrist,girman,,,,noun,,,
"big bony bream (in fresh water),  (2) place in kirrama country",girmbala,,,,noun,,,
a tribe and language east of warrungu country,girramay,,,,noun,,,
"take out dust from gound (earth, hole)",girrbi,,,,transitive,,,
the large intestines ,girugiru,,,,noun,,,
garrawalt creek near abergowrie,giwan,,,,noun,,,
hook,giya,,,,noun,,,
"little, brown lizard, found in large numbers",giyabay,,,,noun,,,
sweet,giyal,,,,adjective,,,
"mussel (shell), about 3 or 4 inches big, found in big swamps ",giyany,,,,noun,,,
,,,,,,,,
,GU,,,,,,,
(not warrungu but jirrbal and girramay) cover up,guba,,,,transitive,,,
type of shell,gubaguba,,,,noun,,,
crocodile (does not bite),gubaji,,,,noun,,,
place name,gubar,,,,noun,,,
"scrub itch (red, small)",gubarrmbanyu,,,,noun,,,
"wise man', doctor",gubi,,,,noun,,,
whistle ,gubi,,,,transitive,,,
be a doctor,gubibi,,,,intransitive,,,
(jalnguy?) whistle ,gubilbi,,,,intransitive,,,
whistle ,gubilgubilbi,,,,intransitive,,,
whistle ,gubilgubili,,,,intransitive,,,
whistle ,gubili,,,,intransitive,,,
"doctor, man-eater",gubimbulu,,,,noun,,,
black duck,gubiri,,,,noun,,,
along' as in 'come along'?),gubiyi,,,,adverb,,,
"doctor, killer",gubiyi,,,,noun,,,
doctor,gubiyigubiyi,,,,noun,,,
"leaf, tea leaf, bush",gubu,,,,noun,,,
a way of fishing where many people  roll branches of trees into the river to chase fish into some place,gubu-mulgarra,,,,noun,,,
persons(s) from the bushy area such as mount pandanus tiger mountain,gububarra,,,,noun,,,
"type of palm, in the bush, big, edible",gubunbara,,,,noun,,,
magpie,gubura,,,,noun,,,
type of bee,guburr,,,,noun,,,
"later, behind",guda,,,,adverb,,,
(jalnguy?) behind,gudamali,,,,adverb,,,
bushy country on herbert river near kirrama ,gudami,,,,noun,,,
from behind,gudamundu,,,,adverb,,,
"(from) behind (of time, space)",gudagandu,,,,adverb,,,
(go or come) back,gudi,,,,adverb,,,
"skin, bark",guga,,,,noun,,,
tree goanna ,gugabara,,,,noun,,,
place on herbert river ( gugani means big mussle shell' in other languages.),gugani,,,,noun,,,
person(s) of gugani,guganibarra,,,,noun,,,
"black goanna, bull goanna (big, on a tree)",gugar,,,,noun,,,
boat,gugay,,,,noun,,,
flying flox,gugi,,,,noun,,,
"language, speech, talk, words, message, voice. (interj) the way guguwuny cries",gugu,,,,noun,,,
gugu-bahdun pople and thir language.,gugu-bajun,,,,noun,,,
"argue with, ""twist word on"" [someone]",gugu-bayi,,,,transitive,,,
"argue with each other/ one another, talk with each other/ one another",gugu-bayi-wa,,,,transitive,,,
"argue with each other/ one another, growl with each other/ one another",gugu-bayuwa,,,,transitive,,,
"send words, talk, read, pronounce",gugu birri,,,,transitive,,,
"talk, speak",gugu guyba,,,,transitive,,,
talk with each other/ one another,gugu guyba-wa,,,,transitive,,,
kookaburra,gugubara,,,,noun,,,
talk,gugubi,,,,intransitive,,,
(intej) the way guguwuny cries,gugugugu,,,,interj,,,
another/ other language,guguguman,,,,noun,,,
egg,guguji,,,,noun,,,
platypus,gugula,,,,noun,,,
"the name of a song, (2) a pair of timing sticks for dancing, etc",gugulu,,,,noun,,,
type of bird,guguwuny,,,,noun,,,
as above,guguwuy,,,,n.II,,,
nose ,guja,,,,noun,,,
alligator,gujagay,,,,n.II,,,
"worm, earth worm",gujal,,,,noun,,,
(jirrbal?) wet ,gujan,,,,adjective,,,
a mountain in the range (where abouts unknown),gujarrbi,,,,noun,,,
"bandicoot (big one, in the grass)",gujila,,,,noun,,,
place on herbert river near ingham,gujilamila,,,,noun,,,
whirlwind,gujulbarra,,,,noun,,,
only , =gul,,,,cli,,,
"up the creek/river, at the top of the creek/river",gula,,,,adverb,,,
ma mountain (near Mt. pandanus?),gulajara,,,,noun,,,
black cockatoo,gulalbi,,,,noun,,,
up the creek (movement),gulangal,,,,adverb,,,
south,gulbila,,,,"noun, adverb",,,
person(s) of south,gulbilabarra,,,,noun,,,
"send [somthing] to the south, look to the south",gulbilanga,,,,transitive,,,
to the south,gulbilangal,,,,adverb,,,
cane grass,gulbira,,,,noun,,,
poision of black tree in scrub,gulburru,,,,noun,,,
jew fish,gulga,,,,noun,,,
swag,gulgurra,,,,noun,,,
angry (generally used with the COM suffix: guli-yi,guli,,,,adjective,,,
only , =guli,,,,cli,,,
take charge,guli waga,,,,intransitive,,,
angry,gulibarra ,,,,adjective,,,
angry,gulibaya,,,,adjective,,,
get angry or wild,gulibi,,,,intransitive,,,
(not warrungu?) coolamon,guliman,,,,noun,,,
get angry,guli-yi waga,,,,intransitive,,,
"get angry, get angry with each other/ one another ",guli-yi waga-wa ,,,,intransitive,,,
behind ,gulma,,,,adverb,,,
"behind (time, order, space)",gulmamali,,,,adverb,,,
behind (of space),gulmangandu,,,,adverb,,,
shield,gulmarri,,,,noun,,,
behind (of space),gulmarru,,,,adverb,,,
helper,gulmbal,,,,noun,,,
help (e.g. in a fight),gulmbalbi,,,,intransitive,,,
"set up [fence], do neatly",gulmburrma,,,,transitive,,,
set up [fence] ,gulmburrmba,,,,transitive,,,
do neatly set up [fence],gulmburrnga,,,,transitive,,,
back (of direction),gulmi,,,,adverb,,,
return,gulmibi,,,,intransitive,,,
return,gulminga,,,,transitive,,,
tripe,gulmu,,,,noun,,,
a language,gulngay,,,,noun,,,
black,guluba,,,,adjective,,,
wind,gulubu,,,,noun,,,
"other, another, different ",guman,,,,adjective,,,
"one more, another one",guman.gabun,,,,"adjective, noun",,,
"different persons, things",guman.guman,,,,noun,,,
be/become different ,gumanbi,,,,intransitive,,,
"another one (e.g. man,woman, dog)",gumanmara,,,,noun,,,
a stage of the growth of a grub in which it is in a cocoon,gumbala,,,,noun,,,
place in wairuna country,gumbin,,,,noun,,,
"arse, buttocks anus",gumbu,,,,noun,,,
butterfly,gumburrgumburr,,,,noun,,,
"fog, cloud",gumburru,,,,noun,,,
grinding stone,gumirri,,,,noun,,,
an avoidance-term by which to refer to a dead husband,gumirrin,,,,noun,,,
lannercost creek,gumun,,,,noun,,,
"(a place) that is quiet and or closed up, e.g. jail, paddock. adj.? quiet?",gumun,,,,"noun, adjective",,,
be /become shut,gumunbi,,,,intransitive,,,
shut,gumunnga,,,,transitive,,,
"raw, green, unripe",gun.ga,,,,adjective,,,
"be lively (of human being, etc.)",gun.gabi,,,,intransitive,,,
cure,gun.gamba,,,,transitive,,,
"(1) faeces, (2) young bee, 'powder' in a beehive",guna,,,,noun,,,
basalt,gunarri,,,,noun,,,
warrungu person(s),gunarribarra,,,,noun,,,
cut,gunba,,,,transitive,,,
cut up,gunbannga,,,,transitive,,,
cicatrices,gunbanyu,,,,noun,,,
log,gunbara,,,,noun,,,
cut... with....,gunbari,,,,transitive,,,
"night, darkness, last night, yesterday",gunda,,,,noun,,,
sky. (adj) bright,gundabara,,,,noun,,,
dark,gundabaya,,,,noun,,,
the next night,gundababun,,,,noun,,,
the night of the day after tomorrow,Gundaguman ,,,,noun,,,
"yesterday. the day before, the night before",gundagunda,,,,adverb,,,
the night before. (n) four night ago,gundagundagabun,,,,adverb,,,
for three night ,gundagurrbara,,,,adverb,,,
an old fighting ground which used to exist near murray (?) river,gundaja,,,,noun,,,
type of long fish,gundamu,,,,noun,,,
"darkness, black",gundarrmu,,,,noun,,,
(1) emu (2) place on waterfall creek,gundulu,,,,noun,,,
north. adv to or in the north,gunggarri,,,,"noun, adverb",,,
person(s) of the north,gunggarribarra,,,,noun,,,
to or on the north side,gunggarrimali,,,,adverb,,,
"send to the north, look towards the north",gunggarringa,,,,transitive,,,
to the north,gungarringal,,,,adverb,,,
"(girramay) red clay, red ochre",gunggu,,,,noun,,,
yellow,gunggugaji,,,,adjective,,,
fight,guni,,,,transitive,,,
"fighting man, man's name (one of alf palmers uncles). (alf palmer gave tasaku tsunoda this name.)",gunira,,,,noun,,,
fight with on/each other,guniwa,,,,intransitive,,,
break,gunji,,,,transitive,,,
"cut, break, chop",gunma,,,,transitive,,,
jabiru (big crane),gunumali,,,,noun,,,
"butcher bird??, yam??",gunyaga,,,,noun,,,
long (?) yam,gunyangarra,,,,noun,,,
happy ,gunyarrgunyarr,,,,adjective,,,
"the south, southern reigion",gunyin,,,,noun,,,
person(s) of the south,gunyinbarra,,,,noun,,,
split in the middle part of the belly of [e.g. a kangaroo],gunyjabaranga,,,,transitive,,,
round yam,gunyjangarra,,,,noun,,,
"(1) kidney, (2) place on waterfall creek near cold",gunyji,,,,noun,,,
thunder storm,gunyjubara,,,,noun,,,
storm,gunyjunu or gunjunu,,,,noun,,,
thunder storm,gunyjuy or gunyjuyi,,,,noun,,,
thunderstorm,gunyuybara or gunyjuyibara,,,,noun,,,
(girramay or jirrbal?) be/become yellow,gurbalbi,,,,intransitive,,,
yellow,gurbalgurbal,,,,adjective,,,
"old female kangaroo?, young female kangaroo?, mother kangaroo?, any young kangarroo",gurgay,,,,noun,,,
semen??,gurgun,,,,noun,,,
(girramay?) (1) carpet snake (one of the skin groups?),gurgurru,,,,noun,,,
"native bee, sugar bag",gurja,,,,noun,,,
"(girramay ?) feel, touch",gurma,,,,transitive,,,
husband,gurnggal,,,,noun,,,
be/become a husband,gurnggalbi ,,,,intransitive,,,
(warrgamay?) club with round head,gurnggu,,,,noun,,,
"sweep, rake up",gurra,,,,transitive,,,
"(1) younger sibling (younger brother, younger sister), (2) the last one, behind one",gurramara,,,,noun,,,
"rainbow lorikeet, ? or eastern rosella, king parrot?",gurrambal,,,,noun,,,
ironbark (tree),gurranbara,,,,noun,,,
fresh water perch,gurrba,,,,noun,,,
three,gurrbara,,,,"noun, adjective",,,
[stay] for three nights,gurrbarabi,,,,intransitive,,,
five,gurrbarabularu,,,,"noun, adjectie",,,
"do three times, do.... with three persons",gurrbaranga,,,,transitive,,,
three times,gurrbarangal,,,,adverb,,,
"nape, neck",gurrga,,,,noun,,,
billy can,gurrgara,,,,noun,,,
water rat,gurrgija,,,,noun,,,
"crow, the symbol or name of a skin group???",gurrgila,,,,noun,,,
"big, grinding stone",gurrgu,,,,noun,,,
twins (guribula?),gurribula,,,,noun,,,
eaglehawk,gurrijala,,,,noun,,,
(warrgamay?) blood,gurrmal,,,,noun,,,
mud ,gurrnga,,,,noun,,,
blood wood,gurrugan,,,,noun,,,
ear,guru,,,,noun,,,
honey,guru,,,,noun,,,
sweet,gurugaji,,,,adjective,,,
dove (little one),gurugu,,,,noun,,,
brown hawk,gurunggul,,,,noun,,,
brolga,gururr,,,,noun,,,
west. adv on top (e.g. the sun at midday.),guwa,,,,"noun, adverb",,,
"person(s) of the west, e.g. of charters towers",guwabarra,,,,noun,,,
go west,guwabi,,,,intransitive,,,
"top, in the west?",guwagada,,,,adverb,,,
on top,guawmali,,,,adverb,,,
"send, etc. to the west",guwanga,,,,transitive,,,
to the west,guwangal,,,,adverb,,,
westerly ,guwangumay,,,,adjective,,,
"loc: -guwanyja) lotss of, all of my.... (following kinship nouns)", -guway,,,,derivational suffix,,,
cane beetle,guwurrjuru,,,,noun,,,
"HI!, HEY!, etc. (to a person in the distance)",guwuy ,,,,interj,,,
"erg: guwuny-ju) (1) male ghost, dead man, (2) white man",guwuy,,,,n.II,,,
"be/become (like) a ghost, die",guwuybi,,,,intransitive,,,
call out 'HI!',guwuybi,,,,intransitive,,,
"make [someone] a dead man, kill",guwuynga,,,,transitive,,,
on the other side ,guyamali,,,,adverb,,,
bottle spear,guyan,,,,noun,,,
frost,guyan,,,,noun,,,
"across, to the other side ",guyangal,,,,adverb,,,
shell orament around the neck,guyanyjal,,,,noun,,,
shady ridge,guyarri,,,,noun,,,
"across, on or to the other side",guyay,,,,adverb,,,
"on the other side, inside (of the house)",guyaymali,,,,adverb,,,
"to the other side, [go] over",guyayngal,,,,adverb,,,
"give,throw",guyba,,,,transitive,,,
person who tends to give out,guybalnga,,,,noun,,,
"send, let [person] go, show",guybara,,,,transitive,,,
"give [to many], ? [many] give??",guybaramba,,,,transitive,,,
knock over,guybaranga,,,,transitive,,,
"knock over, push over",guybari,,,,intransitive,,,
(instrumental verb) thow... to....,guybari,,,,transitive,,,
give to one another (or each other),guybawa,,,,intransitive,,,
(jalnguy) come down?,?guyga,,,,intransitive,,,
"scrub bandicoot (with long nose, small one in the scrub)",guygal,,,,noun,,,
jalnguy?) water,guygarra,,,,noun,,,
"(1) mosquito, (2) place on herbert river ",guyguy,,,,noun,,,
hungry,guyi,,,,adjective,,,
cry,guyi,,,,intransitive,,,
be hungry,guyi wala,,,,intransitive,,,
curlew (dances in the cemetery at night),guyibarra ,,,,noun,,,
become hungry,guyibi,,,,intransitive,,,
wrinkle,guyiguyi,,,,noun,,,
cork wood,guyirri,,,,noun,,,
scrub turkey,guyjarri,,,,noun,,,
young man who has gone through first stage of initiation),guymbinba,,,,noun,,,
"cicatrices-type tribal mark on a mans belly, who is old enough to marry",guymbirra,,,,noun,,,
"feel sorry, be sad",guynbun.guynbunbi,,,,intransitive,,,
feel sorry for [someone],guynbunbi,,,,transitive,,,
feel sorry for???,guynburmba,,,,transitive,,,
"(1) female ghost, dead female, (2) white woman",guynggan,,,,noun,,,
(1) bean (2) wild grape (red),guyu,,,,noun,,,
daughter in-law,guyugan,,,,noun,,,
,,,,,,,,
,H,,,,,,,
"exclamation of suprise, etc. ",haha,,,,interj,,,
call to someone,hay,,,,interj,,,
,,,,,,,,
,JA,,,,,,,
place near cashmere,jabaji,,,,noun,,,
whip tail kangaroo,jabali,,,,noun,,,
any eel (=wagal),jaban,,,,noun,,,
stop [at a place or from a fight],jabi,,,,transitive,,,
mans name (one of alf palmer(s) grandsons: roderick palmer),jabinu,,,,transitive,,,
hole (of a grave),jabu,,,,noun,,,
"bury (not only a corpse in a grave-hole but also a stone, etc. in an ordinary hole)",jabubaga,,,,noun,,,
bury  ,jabumba,,,,transitive,,,
coast ,jabun,,,,noun,,,
"person(s) from one of the cost (e.g. carwell, inghams, cairns)",jabunbarra,,,,noun,,,
bury,jabunga,,,,transitive,,,
bury,jabungganga,,,,transitive,,,
enemy,jabura,,,,noun,,,
pimple,jaga,,,,noun,,,
"chee, whiskers (on the cheeks)",jagal,,,,noun,,,
sand goanna ,jagany,,,,noun,,,
leather bead bird,jagar,,,,noun,,,
"(1) sand goanna (com: jagany-ji), (2) place on herbert river near kirrama (class unknown, probably class 11)",jagay,,,,noun,,,
be sorry,jagu,,,,intransitive,,,
another person who also feels sorry,jagulguman,,,,"noun, adjective",,,
"be sorry, quiet",jaguli,,,,intransitive,,,
sorry,jaguljagul,,,,adjective,,,
be sorry,jaguljaguli,,,,intransitive,,,
be sorry for [someone],jagulnga,,,,transitive,,,
(jirrbal) tie up,jaguma,,,,transitive,,,
tie up (e.g. tree),jagunga,,,,transitive,,,
tie up???,jaguri,,,,transitive,,,
(class ii erg: jaguny-ju)mleft (not right),jaguy,,,,"noun, adjective",,,
yam with prickly leaves,jalaba,,,,noun,,,
big waves (adj) wavy,jalamjalam,,,,"noun, adjective",,,
make big waves,jalamjalamnga,,,,transitive,,,
greedy,jalan,,,,adjective,,,
inside part  or red part of minga (female private parts),jalan,,,,noun,,,
be/become greedy,jalanbi,,,,intransitive,,,
clothing for woman to cover the private parts,jalanggu,,,,noun,,,
tongue,jalany,,,,noun,,,
greedy person,jalawuru,,,,noun,,,
"stick, make ..... stuck (in a place)",jalba,,,,transitive,,,
"moustache, beard, whiskers (on cheek, chin, below nose), (2) (loc: jalbar-a. this loc formation is an exception.) place (on herbert river)",jalbar,,,,noun,,,
